"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2023-01-01 00:00:00","2023-01-01 00:21:00","Nob Hill","Assault","Assault","Open or Active","Central","Battery","230000478"
"2023-01-01 00:00:00","2023-01-01 00:30:00","Lakeshore","Assault","Assault","Open or Active","Taraval","Battery","230000224"
"2023-01-01 00:00:00","2023-01-01 00:40:00","South of Market","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, From Locked Vehicle, >$950","236000038"
"2023-01-01 00:00:00","2023-01-01 00:45:00","Mission","Assault","Assault","Open or Active","Mission","Battery","230000070"
"2023-01-01 00:00:00","2023-01-01 00:55:00","North Beach","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Building, $200-$950","230001987"
"2023-01-01 00:00:00","2023-01-01 00:58:00","Financial District/South Beach","Non-Criminal","Non-Criminal","Open or Active","Central","Aided Case","230000111"
"2023-01-01 00:00:00","2023-01-01 01:00:00","South of Market","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, Other Property, >$950","236000066"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Castro/Upper Market","Lost Property","Lost Property","Open or Active","Mission","Lost Property","236000179"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Castro/Upper Market","Larceny Theft","Larceny Theft","Open or Active","Mission","Theft, From Person, <$50 (other than Pickpocket)","230000854"
"2023-01-01 00:00:00","2023-01-01 01:00:00","South of Market","Missing Person","Missing Person","Open or Active","Southern","Missing Adult","230000581"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Castro/Upper Market","Fraud","Fraud","Open or Active","Mission","Fraudulent Use Of Automated Teller Card","230000854"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Mission","Missing Person","Missing Person","Open or Active","Mission","Found Person","230000581"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Financial District/South Beach","Assault","Assault","Open or Active","Tenderloin","Battery","230000519"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Financial District/South Beach","Larceny Theft","Larceny Theft","Open or Active","Southern","Theft, Other Property, $50-$200","236000016"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Tenderloin","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Tenderloin","Vehicle, Stolen, Auto","230003717"
"2023-01-01 00:00:00","2023-01-01 01:00:00","Financial District/South Beach","Malicious Mischief","Malicious Mischief","Open or Active","Tenderloin","Malicious Mischief, Vandalism to Vehicle","230000519"
"2023-01-01 00:00:00","2023-01-01 01:03:00","Western Addition","Assault","Assault","Cite or Arrest Adult","Northern","Battery, Of A Police Officer","230000155"
