"incident_date","incident_datetime","analysis_neighborhood","incident_category","incident_category","resolution","police_district","incident_description","incident_number"
"2022-10-01 00:00:00","2022-10-01 00:00:00","Presidio Heights","Non-Criminal","Non-Criminal","Open or Active","Richmond","Mental Health Detention","220673499"
"2022-10-01 00:00:00","2022-10-01 00:01:00","Tenderloin","Miscellaneous Investigation","Miscellaneous Investigation","Open or Active","Tenderloin","Miscellaneous Investigation","220676998"
"2022-10-01 00:00:00","2022-10-01 00:16:00","Oceanview/Merced/Ingleside","Disorderly Conduct","Disorderly Conduct","Open or Active","Bayview","Terrorist Threats","220671681"
"2022-10-01 00:00:00","2022-10-01 00:18:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Driving, No License Issued","220671738"
"2022-10-01 00:00:00","2022-10-01 00:21:00","Tenderloin","Weapons Carrying Etc","Weapons Carrying Etc","Cite or Arrest Adult","Tenderloin","Firearm, Possession of Loaded","220671807"
"2022-10-01 00:00:00","2022-10-01 00:21:00","Tenderloin","Weapons Carrying Etc","Weapons Carrying Etc","Cite or Arrest Adult","Tenderloin","Firearm, Possession By Prohibited Person","220671807"
"2022-10-01 00:00:00","2022-10-01 00:21:00","Tenderloin","Weapons Offense","Weapons Offense","Cite or Arrest Adult","Tenderloin","Weapon, Deadly, Imitation or Laser Scope, Exhibiting","220671807"
"2022-10-01 00:00:00","2022-10-01 00:30:00","Chinatown","Larceny Theft","Larceny Theft","Open or Active","Central","Theft, From Building, $200-$950","220671766"
"2022-10-01 00:00:00","2022-10-01 00:33:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Driving, No License Issued","220671813"
"2022-10-01 00:00:00","2022-10-01 00:33:00","Western Addition","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Northern","Driving While Under The Influence Of Alcohol","220671813"
"2022-10-01 00:00:00","2022-10-01 00:53:00","Tenderloin","Other Miscellaneous","Other Miscellaneous","Open or Active","Tenderloin","Evading a Police Officer Recklessly","220671772"
"2022-10-01 00:00:00","2022-10-01 00:58:00","South of Market","Other Miscellaneous","Other Miscellaneous","Cite or Arrest Adult","Southern","Driving, License Suspended or Revoked","220671750"
"2022-10-01 00:00:00","2022-10-01 00:59:00","Sunset/Parkside","Motor Vehicle Theft","Motor Vehicle Theft","Open or Active","Taraval","Vehicle, Stolen, Auto","220671794"
