;incidentCategory;neighborhood;datetime;hour;weather
1;Fraud;Inner Sunset;2022-07-01 00:00:00;00;2022070100
2;Fraud;Nob Hill;2022-07-01 00:00:00;00;2022070100
3;Malicious Mischief;Marina;2022-07-01 00:00:00;00;2022070100
4;Motor Vehicle Theft;Mission;2022-07-01 00:01:00;00;2022070100
5;Fraud;Excelsior;2022-07-01 00:01:00;00;2022070100
6;Assault;Tenderloin;2022-07-01 00:05:00;00;2022070100
7;Fraud;Potrero Hill;2022-07-01 00:10:00;00;2022070100
8;Fraud;Mission;2022-07-01 00:10:00;00;2022070100
9;Fraud;Mission;2022-07-01 00:10:00;00;2022070100
10;Burglary;Potrero Hill;2022-07-01 00:26:00;00;2022070100
11;Fraud;Bayview Hunters Point;2022-07-01 00:26:00;00;2022070100
12;Fraud;Tenderloin;2022-07-01 00:34:00;00;2022070100
13;Weapons Offense;Portola;2022-07-01 00:38:00;00;2022070100
14;Fraud;Mission;2022-07-01 01:00:00;01;2022070101
15;Burglary;Tenderloin;2022-07-01 01:05:00;01;2022070101
16;Burglary;Marina;2022-07-01 01:29:00;01;2022070101
17;Traffic Violation;Tenderloin;2022-07-01 01:43:00;01;2022070101
18;Traffic Violation Arrest;Tenderloin;2022-07-01 01:43:00;01;2022070101
19;Disorderly Conduct;Oceanview/Merced/Ingleside;2022-07-01 02:10:00;02;2022070102
20;Burglary;Mission;2022-07-01 04:30:00;04;2022070104
21;Offences Against The Family And Children;Bayview Hunters Point;2022-07-01 04:52:00;04;2022070104
22;Offences Against The Family And Children;Noe Valley;2022-07-01 05:01:00;05;2022070105
23;Offences Against The Family And Children;Noe Valley;2022-07-01 05:01:00;05;2022070105
24;Burglary;Bayview Hunters Point;2022-07-01 05:34:00;05;2022070105
25;Fraud;Sunset/Parkside;2022-07-01 05:37:00;05;2022070105
26;Burglary;Outer Richmond;2022-07-01 05:45:00;05;2022070105
27;Burglary;South of Market;2022-07-01 05:50:00;05;2022070105
28;Malicious Mischief;Lone Mountain/USF;2022-07-01 06:00:00;06;2022070106
29;Trespassing;Lone Mountain/USF;2022-07-01 06:00:00;06;2022070106
30;Weapons Carrying Etc;Western Addition;2022-07-01 06:10:00;06;2022070106
31;Offences Against The Family And Children;Oceanview/Merced/Ingleside;2022-07-01 06:40:00;06;2022070106
32;Motor Vehicle Theft;Nob Hill;2022-07-01 06:49:00;06;2022070106
33;Larceny Theft;Russian Hill;2022-07-01 07:00:00;07;2022070107
34;Larceny Theft;Mission Bay;2022-07-01 07:00:00;07;2022070107
35;Malicious Mischief;Bayview Hunters Point;2022-07-01 07:00:00;07;2022070107
36;Trespassing;Bayview Hunters Point;2022-07-01 07:00:00;07;2022070107
37;Assault;Financial District/South Beach;2022-07-01 07:30:00;07;2022070107
38;Disorderly Conduct;Financial District/South Beach;2022-07-01 07:30:00;07;2022070107
39;Weapons Carrying Etc;Financial District/South Beach;2022-07-01 07:30:00;07;2022070107
40;Larceny Theft;Hayes Valley;2022-07-01 07:45:00;07;2022070107
41;Assault;Tenderloin;2022-07-01 08:04:00;08;2022070108
42;Burglary;Tenderloin;2022-07-01 08:30:00;08;2022070108
43;Larceny Theft;Presidio Heights;2022-07-01 08:45:00;08;2022070108
