DateKey,Temperature,Humidity,Rainfall,Clouds,Wind,Weather_time
2022092500,16.1,94.0,0.0,0.0,2.24,2022-09-25 00:00:00
2022092501,15.5,97.0,0.0,0.0,2.2,2022-09-25 01:00:00
2022092502,15.0,98.0,0.0,14.0,2.05,2022-09-25 02:00:00
2022092503,14.5,99.0,0.0,90.0,2.05,2022-09-25 03:00:00
2022092504,14.1,99.0,0.0,90.0,2.62,2022-09-25 04:00:00
2022092505,13.8,100.0,0.0,90.0,2.83,2022-09-25 05:00:00
2022092506,13.5,100.0,0.0,90.0,2.69,2022-09-25 06:00:00
2022092507,13.6,100.0,0.0,90.0,2.25,2022-09-25 07:00:00
2022092508,14.5,99.0,0.0,90.0,1.9,2022-09-25 08:00:00
2022092509,16.2,93.0,0.0,90.0,1.63,2022-09-25 09:00:00
2022092510,17.4,86.0,0.0,90.0,1.61,2022-09-25 10:00:00
2022092511,19.6,74.0,0.0,54.0,1.71,2022-09-25 11:00:00
2022092512,18.5,72.0,0.0,39.0,2.12,2022-09-25 12:00:00
2022092513,20.1,66.0,0.0,28.0,2.73,2022-09-25 13:00:00
2022092514,20.8,62.0,0.0,23.0,3.36,2022-09-25 14:00:00
2022092515,20.8,62.0,0.0,44.0,3.95,2022-09-25 15:00:00
2022092516,20.1,64.0,0.0,25.0,4.49,2022-09-25 16:00:00
2022092517,18.7,69.0,0.0,15.0,4.41,2022-09-25 17:00:00
2022092518,17.0,76.0,0.0,17.0,4.3,2022-09-25 18:00:00
2022092519,15.6,83.0,0.0,29.0,4.08,2022-09-25 19:00:00
2022092520,14.8,88.0,0.0,44.0,3.75,2022-09-25 20:00:00
2022092521,14.2,91.0,0.0,57.0,3.54,2022-09-25 21:00:00
2022092522,13.9,94.0,0.0,61.0,3.2,2022-09-25 22:00:00
2022092523,13.8,94.0,0.0,72.0,3.1,2022-09-25 23:00:00
2022092600,14.0,93.0,0.0,72.0,3.1,2022-09-26 00:00:00
2022092601,13.8,94.0,0.0,90.0,3.1,2022-09-26 01:00:00
2022092602,13.8,94.0,0.0,90.0,3.13,2022-09-26 02:00:00
2022092603,13.8,94.0,0.0,90.0,3.35,2022-09-26 03:00:00
2022092604,13.8,94.0,0.0,90.0,3.37,2022-09-26 04:00:00
2022092605,13.7,95.0,0.0,90.0,3.06,2022-09-26 05:00:00
2022092606,13.6,95.0,0.0,90.0,2.93,2022-09-26 06:00:00
2022092607,13.7,95.0,0.0,90.0,2.72,2022-09-26 07:00:00
2022092608,13.9,93.0,0.0,90.0,2.62,2022-09-26 08:00:00
2022092609,14.8,88.0,0.0,81.0,2.73,2022-09-26 09:00:00
2022092610,15.9,82.0,0.0,45.0,2.93,2022-09-26 10:00:00
2022092611,17.4,75.0,0.0,32.0,3.1,2022-09-26 11:00:00
