;incidentCategory;neighborhood;datetime;weather
1;30;Inner Sunset;2022-07-01 00:00:00;2022070100
2;30;Nob Hill;2022-07-01 00:00:00;2022070100
3;43;Marina;2022-07-01 00:00:00;2022070100
4;44;Mission;2022-07-01 00:01:00;2022070100
5;30;Excelsior;2022-07-01 00:01:00;2022070100
6;3;Tenderloin;2022-07-01 00:05:00;2022070100
7;30;Potrero Hill;2022-07-01 00:10:00;2022070100
8;30;Mission;2022-07-01 00:10:00;2022070100
9;30;Mission;2022-07-01 00:10:00;2022070100
10;5;Potrero Hill;2022-07-01 00:26:00;2022070100
11;30;Bayview Hunters Point;2022-07-01 00:26:00;2022070100
12;30;Tenderloin;2022-07-01 00:34:00;2022070100
13;71;Portola;2022-07-01 00:38:00;2022070100
14;30;Mission;2022-07-01 01:00:00;2022070101
15;5;Tenderloin;2022-07-01 01:05:00;2022070101
16;5;Marina;2022-07-01 01:29:00;2022070101
17;65;Tenderloin;2022-07-01 01:43:00;2022070101
18;66;Tenderloin;2022-07-01 01:43:00;2022070101
19;12;Oceanview/Merced/Ingleside;2022-07-01 02:10:00;2022070102
20;5;Mission;2022-07-01 04:30:00;2022070104
21;45;Bayview Hunters Point;2022-07-01 04:52:00;2022070104
22;45;Noe Valley;2022-07-01 05:01:00;2022070105
23;45;Noe Valley;2022-07-01 05:01:00;2022070105
24;5;Bayview Hunters Point;2022-07-01 05:34:00;2022070105
25;30;Sunset/Parkside;2022-07-01 05:37:00;2022070105
26;5;Outer Richmond;2022-07-01 05:45:00;2022070105
27;5;South of Market;2022-07-01 05:50:00;2022070105
28;43;Lone Mountain/USF;2022-07-01 06:00:00;2022070106
29;67;Lone Mountain/USF;2022-07-01 06:00:00;2022070106
30;70;Western Addition;2022-07-01 06:10:00;2022070106
31;45;Oceanview/Merced/Ingleside;2022-07-01 06:40:00;2022070106
32;44;Nob Hill;2022-07-01 06:49:00;2022070106
33;39;Russian Hill;2022-07-01 07:00:00;2022070107
34;39;Mission Bay;2022-07-01 07:00:00;2022070107
35;43;Bayview Hunters Point;2022-07-01 07:00:00;2022070107
36;67;Bayview Hunters Point;2022-07-01 07:00:00;2022070107
37;3;Financial District/South Beach;2022-07-01 07:30:00;2022070107
38;12;Financial District/South Beach;2022-07-01 07:30:00;2022070107
39;70;Financial District/South Beach;2022-07-01 07:30:00;2022070107
40;39;Hayes Valley;2022-07-01 07:45:00;2022070107
41;3;Tenderloin;2022-07-01 08:04:00;2022070108
42;5;Tenderloin;2022-07-01 08:30:00;2022070108
43;39;Presidio Heights;2022-07-01 08:45:00;2022070108
44;44;Glen Park;2022-07-01 08:45:00;2022070108
45;39;Russian Hill;2022-07-01 09:30:00;2022070109
46;18;Tenderloin;2022-07-01 09:56:00;2022070109
47;3;Tenderloin;2022-07-01 09:56:00;2022070109
48;3;North Beach;2022-07-01 10:00:00;2022070110
49;66;Golden Gate Park;2022-07-01 10:10:00;2022070110
50;32;Golden Gate Park;2022-07-01 10:10:00;2022070110
51;30;Tenderloin;2022-07-01 10:34:00;2022070110
52;39;Western Addition;2022-07-01 10:50:00;2022070110
53;3;Treasure Island;2022-07-01 10:50:00;2022070110
54;44;North Beach;2022-07-01 10:58:00;2022070110
55;39;Marina;2022-07-01 11:00:00;2022070111
56;39;North Beach;2022-07-01 11:00:00;2022070111
57;3;Oceanview/Merced/Ingleside;2022-07-01 11:00:00;2022070111
58;39;Japantown;2022-07-01 11:20:00;2022070111
59;45;Portola;2022-07-01 11:30:00;2022070111
60;43;Portola;2022-07-01 11:30:00;2022070111
61;39;Mission;2022-07-01 11:45:00;2022070111
62;39;North Beach;2022-07-01 11:45:00;2022070111
63;39;Nob Hill;2022-07-01 11:50:00;2022070111
64;67;Haight Ashbury;2022-07-01 12:00:00;2022070112
65;39;Seacliff;2022-07-01 12:00:00;2022070112
