time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),cloudcover (%),windspeed_10m (m/s)
2022-09-25T00:00,16.1,94,0.00,0,2.24
2022-09-25T01:00,15.5,97,0.00,0,2.20
2022-09-25T02:00,15.0,98,0.00,14,2.05
2022-09-25T03:00,14.5,99,0.00,90,2.05
2022-09-25T04:00,14.1,99,0.00,90,2.62
2022-09-25T05:00,13.8,100,0.00,90,2.83
2022-09-25T06:00,13.5,100,0.00,90,2.69
2022-09-25T07:00,13.6,100,0.00,90,2.25
2022-09-25T08:00,14.5,99,0.00,90,1.90
2022-09-25T09:00,16.2,93,0.00,90,1.63
2022-09-25T10:00,17.4,86,0.00,90,1.61
2022-09-25T11:00,19.6,74,0.00,54,1.71
2022-09-25T12:00,18.5,72,0.00,39,2.12
2022-09-25T13:00,20.1,66,0.00,28,2.73
2022-09-25T14:00,20.8,62,0.00,23,3.36
2022-09-25T15:00,20.8,62,0.00,44,3.95
2022-09-25T16:00,20.1,64,0.00,25,4.49
2022-09-25T17:00,18.7,69,0.00,15,4.41
2022-09-25T18:00,17.0,76,0.00,17,4.30
2022-09-25T19:00,15.6,83,0.00,29,4.08
2022-09-25T20:00,14.8,88,0.00,44,3.75
2022-09-25T21:00,14.2,91,0.00,57,3.54
2022-09-25T22:00,13.9,94,0.00,61,3.20
2022-09-25T23:00,13.8,94,0.00,72,3.10
2022-09-26T00:00,14.0,93,0.00,72,3.10
2022-09-26T01:00,13.8,94,0.00,90,3.10
2022-09-26T02:00,13.8,94,0.00,90,3.13
2022-09-26T03:00,13.8,94,0.00,90,3.35
2022-09-26T04:00,13.8,94,0.00,90,3.37
2022-09-26T05:00,13.7,95,0.00,90,3.06
2022-09-26T06:00,13.6,95,0.00,90,2.93
2022-09-26T07:00,13.7,95,0.00,90,2.72
2022-09-26T08:00,13.9,93,0.00,90,2.62
2022-09-26T09:00,14.8,88,0.00,81,2.73
2022-09-26T10:00,15.9,82,0.00,45,2.93
2022-09-26T11:00,17.4,75,0.00,32,3.10
2022-09-26T12:00,18.0,69,0.00,22,3.50
2022-09-26T13:00,19.2,65,0.00,13,3.90
2022-09-26T14:00,19.6,63,0.00,18,4.40
2022-09-26T15:00,19.6,63,0.00,50,4.79
2022-09-26T16:00,18.8,66,0.00,35,5.48
2022-09-26T17:00,17.8,70,0.00,32,5.41
2022-09-26T18:00,16.7,76,0.00,25,4.94
2022-09-26T19:00,15.6,81,0.00,35,4.68
2022-09-26T20:00,14.9,86,0.00,44,4.65
2022-09-26T21:00,14.6,88,0.00,49,4.33
2022-09-26T22:00,14.4,90,0.00,41,3.59
2022-09-26T23:00,14.1,93,0.00,59,3.85
2022-09-27T00:00,13.7,90,0.00,72,3.69
2022-09-27T01:00,13.7,90,0.00,78,3.42
2022-09-27T02:00,13.6,90,0.00,79,3.57
2022-09-27T03:00,13.4,91,0.00,90,4.05
2022-09-27T04:00,13.2,92,0.00,90,4.27
2022-09-27T05:00,13.2,92,0.00,90,3.81
2022-09-27T06:00,13.0,93,0.00,90,3.62
2022-09-27T07:00,13.1,93,0.00,89,3.42
2022-09-27T08:00,13.3,91,0.00,90,3.42
2022-09-27T09:00,14.0,86,0.00,90,3.64
2022-09-27T10:00,14.9,80,0.00,82,3.61
2022-09-27T11:00,16.2,74,0.00,84,3.42
2022-09-27T12:00,17.0,68,0.00,26,3.37
2022-09-27T13:00,18.6,61,0.00,5,3.96
2022-09-27T14:00,19.6,57,0.00,10,4.77
2022-09-27T15:00,19.6,58,0.00,18,4.87
2022-09-27T16:00,19.3,59,0.00,16,5.22
2022-09-27T17:00,18.3,64,0.00,11,5.15
2022-09-27T18:00,17.1,70,0.00,5,4.78
2022-09-27T19:00,15.8,78,0.00,1,4.49
2022-09-27T20:00,15.0,83,0.00,1,4.44
2022-09-27T21:00,14.6,86,0.00,2,4.44
2022-09-27T22:00,14.4,88,0.00,2,4.61
